step,current_phase,phase_timer,requested_action,action_valid,safe_action,mask_ph0,mask_ph1,mask_ph2,mask_ph3,yellow_active,violations_intercepted
0,0,0,1,0,0,1,0,0,0,0,1
1,0,1,2,0,0,1,0,0,0,0,2
2,0,2,3,0,0,1,0,0,0,0,3
3,0,3,2,0,0,1,0,0,0,0,4
4,0,4,1,0,0,1,0,0,0,0,5
5,0,5,0,1,0,1,1,1,1,0,5
6,0,6,0,1,0,1,1,1,1,0,5
7,0,7,3,1,3,1,1,1,1,0,5
8,0,7,2,0,0,1,0,0,0,1,6
9,0,7,1,0,0,1,0,0,0,1,7
10,0,7,1,0,0,1,0,0,0,1,8
11,0,0,2,0,0,1,0,0,0,0,9
12,0,1,2,0,0,1,0,0,0,0,10
13,0,2,2,0,0,1,0,0,0,0,11
14,0,3,1,0,0,1,0,0,0,0,12
15,0,4,2,0,0,1,0,0,0,0,13
16,0,5,1,1,1,1,1,1,1,0,13
17,0,5,3,0,0,1,0,0,0,1,14
18,0,5,0,1,0,1,0,0,0,1,14
19,0,5,0,1,0,1,0,0,0,1,14
20,0,0,1,0,0,1,0,0,0,0,15
21,0,1,2,0,0,1,0,0,0,0,16
22,0,2,2,0,0,1,0,0,0,0,17
23,0,3,1,0,0,1,0,0,0,0,18
24,0,4,3,0,0,1,0,0,0,0,19
25,0,5,1,1,1,1,1,1,1,0,19
26,0,5,0,1,0,1,0,0,0,1,19
27,0,5,0,1,0,1,0,0,0,1,19
28,0,5,3,0,0,1,0,0,0,1,20
29,0,0,0,1,0,1,0,0,0,0,20
30,0,1,3,0,0,1,0,0,0,0,21
31,0,2,1,0,0,1,0,0,0,0,22
32,0,3,0,1,0,1,0,0,0,0,22
33,0,4,1,0,0,1,0,0,0,0,23
34,0,5,2,1,2,1,1,1,1,0,23
35,0,5,1,0,0,1,0,0,0,1,24
36,0,5,3,0,0,1,0,0,0,1,25
37,0,5,2,0,0,1,0,0,0,1,26
38,0,0,1,0,0,1,0,0,0,0,27
39,0,1,2,0,0,1,0,0,0,0,28
40,0,2,3,0,0,1,0,0,0,0,29
41,0,3,1,0,0,1,0,0,0,0,30
42,0,4,0,1,0,1,0,0,0,0,30
43,0,5,1,1,1,1,1,1,1,0,30
44,0,5,3,0,0,1,0,0,0,1,31
45,0,5,0,1,0,1,0,0,0,1,31
46,0,5,3,0,0,1,0,0,0,1,32
47,0,0,2,0,0,1,0,0,0,0,33
48,0,1,2,0,0,1,0,0,0,0,34
49,0,2,1,0,0,1,0,0,0,0,35
50,0,3,3,0,0,1,0,0,0,0,36
51,0,4,0,1,0,1,0,0,0,0,36
52,0,5,1,1,1,1,1,1,1,0,36
53,0,5,1,0,0,1,0,0,0,1,37
54,0,5,1,0,0,1,0,0,0,1,38
55,0,5,1,0,0,1,0,0,0,1,39
56,0,0,0,1,0,1,0,0,0,0,39
57,0,1,0,1,0,1,0,0,0,0,39
58,0,2,0,1,0,1,0,0,0,0,39
59,0,3,2,0,0,1,0,0,0,0,40
60,0,4,1,0,0,1,0,0,0,0,41
61,0,5,2,1,2,1,1,1,1,0,41
62,0,5,2,0,0,1,0,0,0,1,42
63,0,5,2,0,0,1,0,0,0,1,43
64,0,5,2,0,0,1,0,0,0,1,44
65,0,0,2,0,0,1,0,0,0,0,45
66,0,1,2,0,0,1,0,0,0,0,46
67,0,2,2,0,0,1,0,0,0,0,47
68,0,3,2,0,0,1,0,0,0,0,48
69,0,4,1,0,0,1,0,0,0,0,49
70,0,5,0,1,0,1,1,1,1,0,49
71,0,6,3,1,3,1,1,1,1,0,49
72,0,6,1,0,0,1,0,0,0,1,50
73,0,6,2,0,0,1,0,0,0,1,51
74,0,6,0,1,0,1,0,0,0,1,51
75,0,0,1,0,0,1,0,0,0,0,52
76,0,1,2,0,0,1,0,0,0,0,53
77,0,2,2,0,0,1,0,0,0,0,54
78,0,3,2,0,0,1,0,0,0,0,55
79,0,4,1,0,0,1,0,0,0,0,56
80,0,5,3,1,3,1,1,1,1,0,56
81,0,5,2,0,0,1,0,0,0,1,57
82,0,5,3,0,0,1,0,0,0,1,58
83,0,5,2,0,0,1,0,0,0,1,59
84,0,0,2,0,0,1,0,0,0,0,60
85,0,1,3,0,0,1,0,0,0,0,61
86,0,2,0,1,0,1,0,0,0,0,61
87,0,3,3,0,0,1,0,0,0,0,62
88,0,4,3,0,0,1,0,0,0,0,63
89,0,5,2,1,2,1,1,1,1,0,63
90,0,5,2,0,0,1,0,0,0,1,64
91,0,5,2,0,0,1,0,0,0,1,65
92,0,5,1,0,0,1,0,0,0,1,66
93,0,0,3,0,0,1,0,0,0,0,67
94,0,1,0,1,0,1,0,0,0,0,67
95,0,2,1,0,0,1,0,0,0,0,68
96,0,3,2,0,0,1,0,0,0,0,69
97,0,4,3,0,0,1,0,0,0,0,70
98,0,5,1,1,1,1,1,1,1,0,70
99,0,5,1,0,0,1,0,0,0,1,71
100,0,5,0,1,0,1,0,0,0,1,71
